sentiment,text
4,@maxveenhuyzen We have similar tastes! I loooved Paris 36 too. 
4,Eating a healthy snack of Toblerone 
0,"@thecoffeewhore I'm sowwy.   It sucks, I know, I've been there. Yay for half days though!"
0,Just woke up after Sleepin for 4 hrs..  Reason : attended Reliance session today   
4,"@Gio_R haahha, trimming the bush to make the tree look taller "
4,"please vote for my blog, it just takes a click! http://bit.ly/Mplzi thanks! 40% of the votes &amp; climbing, vote, vote, vote!!! "
0,summer &lt;3  i am gonna miss bdrm..i hate SbS
4,@mohdafiq7 you can give me the bikini if you want to. I can use it in campus. 
0,The long somber drive home. #Bonnaroo 2009 is over  Goodbye farm!
0,NUTHIN' TO DO TODAY!!! 
4,@thethirdrat groovey thanks. need to sort through 941 images and upload them to my website  see you in the wee hours
4,"I had a positive, productive day. Feels good. "
0,New to this twitter thing dont no what to do (someone HELP me please)    
0,"@MissDangerMouse Hell yes!  Where have you BEEN, man?  You're never on AIM anymore. "
4,@katyperry wow! just lilke in the fairy tales! 
4,@emily_kwan thank you very much 
4,@Malarkey ok point taken.  I'll tell my team to stop our cynical championing of standards. Active-X is far better anyway 
4,Im really sorry! i dont want to shock you of course 
0,Monday morning ... and I have a dental appointment 
0,"Sara graduates on Thursday, I am sooo not ready for this!   I don't want her to grow up."
4,Good effin night  I love old + new friends
4,no more school.... but a pd assignment on genital herpes. can't wait for that one 
0,@Nappytabs aaaaah im insanely annoyed at the fact that i didnt get to meet you  and i wanted it to be my birthday wishhh. ahah awwwwwww.
4,@davidtoddmke @digtlhippie (AKA Andy) is sad because he can't seem to find you.  He is a big twit.  
0,This pizza isn't going down so well 
0,Back 2 work tomorrow 
0,"SO CLOSE to being done, and ink starts smearing all over WHITE pages. Seriously?! UGH "
0,ATTs 8900 looks better than mine!!!  I want it!
0,I hate it when my original CDs get scratched 
4,life is what you make it.. treasure it  
0,Free Your Mind was nice!! workin at barefoot tonight..  wanna go to whoosah..
4,found my birthday dress !! ahhh  thanks shauna for putting up with my shopping. lol
0,@mitchelmusso  i cant believe it was rained out 
0,"DAMN I MISSED MY 2700TH.  THAT WAS SUPPOSED TO BE FOR T1. My 2800th, 2900th and 3000th will all be for T1."
4,no re-sits this year good times  yay
0,@cpauwels  i go to like loads of concert :O and i can't go to rock werchter either this year  i'm breaking a tradition and i don't like it
4,myspace  and being extremely bored..
0,They took away my state room and have me sharing an office onshore  worst day of work everrrr
4,"@ReeceReece cool, tell her I said happy bday "
0,SOOOO I'll take a little break and be back in a little while  I can't see  your tweets  soon tho very soon 
0,"Neighbourhood cats have been in my garden again, i can smell their feces, nice. "
4,yay! I'm leaving for Dallas! @cutekiwi you are still invited! 
4,@hanaabanana Thanks for the song I love it 
0,i am so stressed and my boyfriend wont even give me a hug 
0,@solidstate You have to share that album you know! You can't keep it to yourself forever! 
4,@funimation so when will the next part of school rumble be out  please tell me cuz @_MAXWELL_ wont FEED ME so i need something
4,Wind-blown from photo shoot @Shops of Legacy... soooo tired! *Watching Sex and the City re-runs 
4,no more exams. yay. im celebrating with a pizza. 
0,wondering why i can't stop thinking of that moron!!..and i still don't have any idea what would be is next step to bring me down 
0,@pistol62 Is the Bee to Busy to talk to his buddy on Yahoo? 
4,I like french fries. 
4,@micamonkey I was thinking of places near Victoria Street ma. 
4,"just came from the Mizuno Infinity Run, had an easy 5K and won a nice pair of shades in the raffle. Woohoo! "
0,We just went outside and Jason dented the golf cart. Alex is getting a whoopin when we leave. 
0,"I WANT TO SLEEP NOW !! Please  ... my mom says: &quot;IF U DON'T SLEEP NOW, U SLEEP BETTER BEFORE&quot;... but I want to sleep RIGHT NOW u_u"
0,does not like the heat. I think I have been bitten and I can't stop sneezing 
4,"night people, night tweeters of twitterville. "
0,@Jarie107 so you went to jones and city island without me 
0,Wish I was going to come together 
4,At @megan245's house 
4,"@carpesomediem Killers more than the other two, but I like all three of them  Guess I have to download some."
4,"Economics - What will happen to the Y-Curve, if M1 rises? "
4,hello world my name is....not important right  now 
0,Just had a large wooden picture frame fall from the wall and smack me straight in the face. I now have a fat lip and sore cheek.  
0,"@alexalbrecht I live a couple hours from NYC and wish I could be there for the taping, but fundage is short "
4,@reinert7 we should go skydiving! Anna wants to go too! Remember we decided we were going to sometime? It'll be fun!!! 
4,"@blaqbutterfli Wow, me too "
0,"Attempting to plan my brother's grad party. We have the date and time... now all we need is the food, games, photos and a clean house. "
4,"@EmperorNorton lmao, cats are usually good judges of character though  night night"
4,"If my cat could talk, seriously. We'd have a blast. "
0,not looking forward to going out in the rain 
4,"Won nowt' at the Casino last night, actually lost all of my money in record time so I was home by 11 "
4,"@MetsMerized it was kind of funny late last night, right before adam rubin was on. but they weren't taking calls "
4,"@naomijesson  you nrrd yo wear the actual running skirts,,,which have built in shorties...so if they do fly up then no problem!!  kmw"
4,all links should be killed in the next hour or so  bloggers have been notified...good night all
0,I swear if $ didn't matter I'd move out TODAY! So fed up  I might had to just have no cable and/or food til I get a job...real talk!
0,Is not looking forward to Monday  Booo!!!
0,@TheWayIRoll I don't know where is she... but I miss her  ahah goodnight honey! n.n
4,@samuel_93 no. Why would you think that? I'm a New Zealander. 
4,"Yayy!! I scored 90-the highest score, in my singing test. "
4,@AndrewCrawford HAHAHA - My ...ah...ahem....Gf loves 7de Laan...  - Seriously tho 
4,"@tonycupcakes good to be home, I see "
0,I need to start working out again. I'm getting chubby 
0,Damn!!! All these sales &amp; I can't take advantage 
0,is disappointed that peoples FB updates pretty much equal their tweets...why bother then? I thought there'd be more activity/new material 
4,Join my new Facebook page at http://bit.ly/FU6RW   This will be my Facebook page from now on. Thanks! 
4,"@EmilyAM woo looking forward to seeing you there Emily  Sure just bring your brolly, free raincoats handed out if it rains ;)"
0,Just watched ellens 1000 show!!!! It was awesome... But they didn't show any JB clips. 
0,I havnt twitted in a while! Ive been moving! The big move is tomorrow!  Thats not a good thing! Boohoo.
0,Ahmadinejad is a crazy someone should stop him  praying for tthe Iranian Ppl#iranelections
4,The big day's finally here!! 
4,sun is outside as also inside of me today! 
4,@marrmarr why in the world are you homeless? Come live with me  come home!!!!!
0,Had a bad accident today TRIED to skateboard and broke my wrist 
4,I love old Disney movies. 
4,Morning Tworld   How are my early birds doing today?
0,@SabrinaAlexis oh crapy weather in New York City? dang..! We are having it 2 hey.. It overcast and FRIGGGN freezing in Queensland 
4,I love the new LVATT previews!! 
0,"There, I tweeted... feels dirty. "
4,"Laying in bed with Ty.... Soo tired, after a long day.  ttyl.......lol"
0,My stomach is killing me 
4,@sabaksh heyy girl! i am going to miss you soo muchh...german was funn 
0,"my mum can't be on time grrr, waitin in her office boooring "
4,@Sarah_Coline Hi how are you lovely? Thanks so much for fllwn. Wat do u do? 2 see wat i do hit up www.myspace.com/emmolei lets network! 
0,Friend just Texted me from the New Yankee Stadium...she loves it and hates it all in one! Feels like she's in a different city. 
4,@devilxoxo gi ad masalah ma nyokap. gilaaa dy ngmngnya nancep abiss..aniweii thanks yaaa 
0,still feeling not really well 
0,"liv is so much cooler than me, i wish i could be her  *sigh*"
4,Watching ijustine's Video's 
0,I'm sad that I only have a little over a week left on my vacation! 
0,Chest pains~  going to lay down for a little.
4,"@iama_neko Tnx! Had spinach with chicken curry, Pepsi max &amp; watched Love Actually "
0,ok gone running... this sucks. 
0,im really bummed i didnt get to go to the zooN with you guys 
4,You can pick out different shoes for the sims 3 LOVE IT!  haha. playing the sims then work bb around 10:30! PEACE 
4,@kellbelle288 I think it is GREAT that you get excited about running! 
4,@ddlovato definitely!!! haha you're so cute it's only been like a couple hours 
4,@navs007 red wine nice all gone .. Today indian chai and cake 
4,Listening to it again .. in some way this song reminds me of Bollywood songs.  Bollywood songs are also greeeat. 
0,Come one #apple where is my 3.0? Hoping to have it up and running before heading out the door. Going to about form computer most of day 
4,"@angelmalfoy Init. Bella or is it Belle? (can't member lol) is wayyy too depressed. It's just like, GO AWAY TWILIGHT! aha "
4,Otw back to Jakarta and the traffic is not friendly at all. Had a big dinner at a sundanese restaurant just now. Everything was gooodd!! 
0,Trying out twitted from her iPod touch first gen sadly.  but none the less iPod from. Twitted.co
0,@NelsonAspen Ohh no!! I had a day off on fri so only read ur msg this morning!  What was her answer??
4,@AllieT1983 I remember those days fondly. But that was back when I found sitcoms funny. 
0,is feeling a little sick  almost like Im sea-sick.... except im not by the sea. *bleh*
4,@serenajwilliams hey serena. hows paris? i dream of going one day... been shopping lately? 
4,@tamrod05 I wont but i will be there in a couple weeks for business so we'll see what happens 
0,"Talking with my girls, but not for too long, I've got a headache "
4,why the hell does the candy always end up on MY desk?! mmmmmmmmmm 
0,Good morning tweeple bout to get ready for class my 2nd day of summer school  smh this sucks
0,@Jeff0134 Hey....r uy competing with our @spiritjump summer raffle which starts tomorrow night at midnight? 
0,seriously fml. eff-em-el. 
0,yoo...sittin in the car...crazy ish is happening rite now man..ima have nitemares tonites 
4,@IJsthee He's called Fred and flies around my room when he's happy 
0,just got up and I already need a nap 
4,@McFreak_ yep  Tis a good one aswel 
0,Im watching narnia. &amp; i think im scared. 
4,Trying to &quot;cook&quot; my first kebab ever 
0,Really wants some phÃ² rite now 
4,beach breakkkk! woooooo! fingers crossed for sunshine! text me if you need me 
0,"I have like 200 math problems.  I want to go to the chavacano tomorrow with my mom and tia, but i probably won't."
0,Outta church and it's raining... No FQ Fest today.   http://twitpic.com/3ltv2
4,"time to clean up my twitter  ,"
0,@chloemichelle15 Yeahhh :'D I can't wait!â¥ â¥ But that's way in July 
0,i have a bloody nose 
0,@conc3p It won't let me do &quot;none&quot;. 
0,"@leahbasskitten thanks babe.  sadly, you no online when I get home "
4,@arnehulstein still nice memories with the tube.  Hmm maybe people should name thier tubes. 
0,Argh. My new Moto Razr v3xx_j's camera can't focus on anything work a crap. Old v3 did better macro photos than my full camera. 
4,lost the semi finals tonight....not a happy bunny...hell proud of you ballaz girls though. you played great!! 
0,@JonathanAB That doesnt work for sock monkeys.   so sad
0,back in work after hiking up some very tough mountains in the blistering heat over the weekend  still de-hydrated!
0,At this moment in time i am having new windows fixed and job hunting. wanna sunbathe though 
4,@ddlovato have fun in europe  i love you
0,Couldn't hang out on the couch tonight. Posted at my blog instead &amp; now going to get some sleep. The whole night feels imcomplete. 
4,@TrishaSA not  a problem ma 
4,"@maggiedickson I saw it and i can't wait, i'll be there for sure!! "
0,follow friday: following more people then followers  follow me? woot #followfriday
0,i'm not having a good day.. just wanna cry. 
0,I wish I would be in my hometown of Montreal to attend the NHLTweetup... On top of that I'll be in Salt Lake City with no hockey news... 
4,How cute... Jose has 2 pics on his fridge &amp; 1 of them is of my Bella.  I think he secretly has a man crush on Edgar 
4,"@memoriesalive They are! Love mine! She is a wonderful, kind woman who is a good cook! "
4,"@iamloz_JsPR don't you go for the dockers? pink tickets, cheering against the WA teams...you've changed lozza! "
4,At the Philadelphia Zoo 
0,starting a short lunch break. must be short. my paper is not as far as it was planned to be at this time of day 
4,@GiannaTeach You know you are always more than welcome to come down here. 
4,@BarelySeeAtAll Everyone on the Planet employs caution when Rufus ShinRa says &quot;hmmmmm....&quot;  
4,Hot guy checking me out... Hehe.... Forgot hoe that felt to feel sexy again.. Sassy bitch ova hera! 
4,talkin bout on a handstand reverse wrap my legs round ya waist  slow wind on that ass
0,@yidneth Hey you have actually an account - Pris is a good old friend of mine - we see each other not very often  Hugs Pris!
4,@jazerstudio its coming bro ... its coming 
0,My final was hard. 
4,"@luigilargo jsyk, I have a picture planned for you. "
4,@MelanieFresh27 Hello there hope you are having a good weekend 
4,"@moefugger Cruelly forced, indeed, my friend   Seriously, though, you are incredibly intelligent, I enjoy our political discussions."
4,"fun night of mojitos and theology. and in the morning, at least your hangover will have some religiosity to it (jk "
0,I dont feel well 
0,"He wants me to go to sleep now so I can wake up at 8 then go to his place, but I'm not sleepy yet "
0,Kevin Smith speaking at Carnegie Hall! i'm too broke to go  but still uber exciting 
4,@DavidArchie haha that's because you also look amazing in it! have fun! 
0,@erockett89 i wish i was home in bed naked 
0,"Is watching Maury...shit, I am the father "
0,aww poor Nick he messed up  http://bit.ly/4pZ1Vo
4,happy Mothers Day from comedy magic for corporate events...or umm just from Matt 
0,@Finestangel1 i can't update cos it's an unlocked phone... 
0,Headaches suck 
0,bak and in pain....stood in an ants' nest ouch 
0,"@TS_Elliott Nice Weather, here in #Switzerland it is not beautiful.... "
0,"Dearest Jesus, please don't let tonite's plans get screwed up. Please. "
4,@amy4669 we both like the haircut  she was getting mad at the bob cut
0,"@catrinejensen wow, that must hurt a lot! Your whole back is burned  Can you even sleep normally?"
4,@gaethe no problem. I'll make popcorn.  Then we can drool together.
4,@Jayme1988 ha ha ha... Nice to meet you too! 
4,@rah904 your pic is cute 
4,"So happy that it's FINALLY May!    The Indy 500.  Was there for the horrors of 1973, yet I still remain held captive by Indy's spirit..."
0,"@angrymarks Holy cow, Pulver done in under 1 min. His career should be done, too. "
0,and gambling + horse races are not for me... I didn't win a penny yesterday... 
4,@almostlikesushi hahas the two of you so cute  hows inaug?
4,working on my volunteer post test &amp; watching tyra. aka making my boyfriend proud 
0,@ChampagneRDub Trust me. I know. When I left for college my bro was 8 years old. Talk about tough! I missed him SO much &amp; now he's a man. 
0,is going to classes all day. -- r.i.p. shika &amp;&amp; brooke. can't believe it's already been 2 years. 
0,@BrianJRussell http://twitpic.com/7r45l - OUCH!! it hurts me just to look at him 
0,noooooooo movie6.net is being shut down due to 'legal issues'. 
4,Dinara just won the first game  
4,"@McMedia  Oh I love to walk in a beautiful place. So great for the soul ! Btw-Nice to meet you Sandi, love meeting new ppl! "
0,aww .. use this on films buh u never think that will happen in real life ... if only they had got on that bus  !!
4,@The_B_Ho_Show Aw really?  Thanks babe.. I haven't seen it yet. Glad you like!
4,DOWNLOAD THESE NEW PEEDI CRAKK TRACKS WHILE I'M FEELING GENEROUS!    @FreePeediCrakk
4,6 crackers with blue cheese. Oopsies! 
0,yuck. I really need to excercise. 
0,Just arrived home and kaki gw pegeeeellll  http://myloc.me/3UDh
0,@TomFelton I don't know why but I think of you all the time 
0,Need 5 more followers for 100 
4,Its so sunny yayy! Not a cloud in the sky 
0,I wish Ilived back east...and wasn't sick today. Big bday party and I live 4 provinces away.. 
4,yay no more assignments this term  so happy right now i could dance.... maybe i will haha
4,"Oh, I forgot, today was Elaine's birthday! Happy Birthday SUJU! "
4,"@slowinagoodway Hi Peter, good way to follow each other  I work for Extreme Networks."
0,N da iis  cuz iii dont talk 2 hoy lyk the old dayz 
4,"going to mow the lawn : / ew, can I not be such a man!? k,thanks "
0,@JillzWorth ohhh no..boooo  I'm running around. not on much today. sowwy  
4,ok now im actually studying 
4,To all of our fellow Canadian Tweeps......Happy Victoria Day!   Enjoy the holiday.
0,"Gosh darn it, what has happened to my Tony's? "
0,@angelmagno i want to watch gg season 3 too. 
4,@AceBlack Mixed Chicks 
0,"@dinahhh Yes! But, so dry.  &amp; I'm so afraid I'm not going to do well. SIGH. Anyway I got ur text! SEE U LATER. TSK."
4,"Sitting at the sunshine, enjoying a double espresso reading a great book... Life is good! "
0,aww i think I've worked out whats making me sick - coffeee 
4,@emmyrossum I feel it's liberating to not be home to catch a show. I can out and enjoy life; watch tv later 
4,@josianna Not at all  LOL Now that's what I call a sticky social engagement...
4,@Idaho_Airships lol 
0,"had a blast in austin with katie, six and ashley! back in dallas for one more night of texas. tomorrow it's back to pa "
4,About to watch the parade then fireworks 
4,Its a B E A TIFUL night to be a NY'er -- sorry if you're not here but its &quot;Verrrrrrry Niiiiiiiiiice --- I liiiiiiike!!!! 
0,#spymaster they just tweaked the armored car out from under me  $260k for +500 defense was great while it lasted.
4,"Mmmm, Chinese food!!!! "
0,I am awake now but nobody else  Booooring!
0,Doesn't wanna get up and go to work. 
4,@IssacBenAvram So I am grateful for everyone that is in my life! So blessings and love to each and every one of you! ==&gt; Love you too!!! 
4,pictures makes me smile. 
4,"Going back to sleep for a few hours, then going into school. I fucking love having a car "
4,I just had a yummy Raspberry Truffle Blizzard from Dairy Queen. 
0,There was no one in the building last night  No guests...no breakfast   Oh well...today we have guests...so tomorrow there shall be food
4,@Jonasbrothers Thankyou for an AMAZING concert last night  &amp; Thanks for inviting McFly!My 2 fave bands on the same stage....unbelievable!
0,Really sick! 
0,i pass the exam with standard score -.- damn!!! i'm totally stressed right now 
4,Up was freakin bomb 
0,@purplelime alot of the animations like te shutter when taking a photo etc etc are dead jerky 
0,@ARScherz What did he do... I love cocker spaniels. DBF says I can't have one because they're too stupid 
0,@Nathy23 - Hi Nathy! Its great to see you too!  I'm so sorry to hear about Diddy   ... Maybe we could catch up one Thursday for a coffee?
4,"Hey Demi, how are you?   please reply back "
0,Went on for the last time as Penny tonight  boo!! I love this cast!!
4,"@Martha_Peake : E cmq... it is not an abuse of language, it's a felicitous speech act according to me "
0,And i missed it? 
4,@CoachDeb  tons of love going your way!!
0,has to redo my whole ipod 
0,sun + the holloways album = bliss. shame im revising as well 
4,"@Opelious Yes it was.  Only for a minute, though. It made me laugh, though."
4,update number 300 
